ptID,fit_alpha_plus,fit_alpha_minus,sim_alpha_plus,sim_alpha_minus
201810,0.01,0.72,0.03,1.0
201811,0.63,0.81,0.17,0.72
201901,0.01,0.13,0.02,0.14
201902r,0.05,0.24000000000000002,0.01,0.56
201902,0.04,0.52,0.01,0.4
201903,0.01,0.35000000000000003,0.01,0.34
201905,1.0,0.35000000000000003,0.61,0.16
201909,1.0,0.19,1.0,0.27
201910,0.01,0.32,0.01,1.0
201911,0.01,0.02,0.01,0.02
201913,0.36000000000000004,0.08,0.01,0.12
201914,0.01,0.24000000000000002,0.01,0.24000000000000002
201915,0.01,0.37,0.01,0.35000000000000003
202001,0.12,0.22,0.11,0.17
202002,0.25,0.16,0.09,0.39
202003,0.09999999999999999,0.17,0.86,0.41000000000000003
202004,0.21000000000000002,0.11,0.26,0.18000000000000002
202005,0.14,0.16,0.36000000000000004,0.17
202006u,0.13,0.19,0.19,0.35000000000000003
202006,0.09999999999999999,0.14,0.09999999999999999,0.15000000000000002
202007,0.47000000000000003,0.01,0.24000000000000002,0.05
202008,0.19,0.13,0.14,0.2
202009,0.02,0.35000000000000003,0.04,0.32
202011,0.17,0.11,0.11,0.12
202014,0.5700000000000001,0.09,0.15000000000000002,0.12
202015,1.0,0.2,1.0,0.18000000000000002
202016,0.01,0.76,0.01,0.85
202105,0.01,0.01,0.01,0.01
202107,0.23,0.23,0.38,0.25
202110,1.0,0.41000000000000003,0.31,0.16
202114,0.01,0.3,0.01,0.29000000000000004
202117,0.01,0.01,1.0,0.05
202118,0.6599999999999999,0.15000000000000002,1.0,0.05
202201,0.01,0.25,0.01,0.26
202202,0.060000000000000005,1.0,0.01,0.88
202205,0.92,0.24000000000000002,1.0,0.17
202207,0.84,0.02,1.0,1.0
202208,0.14,0.06999999999999999,0.22,0.08
202209,0.81,0.01,0.01,0.02
202212b,0.31,1.0,0.36000000000000004,1.0
202212,0.03,0.27,0.01,0.26
202214,0.19,0.09999999999999999,0.060000000000000005,0.14
202215,0.17,0.21000000000000002,0.63,0.13
202216,0.08,0.060000000000000005,0.01,0.060000000000000005
202217,1.0,0.25,0.76,0.21000000000000002
202302,0.01,0.21000000000000002,0.01,0.2
202306,0.04,0.17,0.45,0.01
202307,1.0,0.04,0.99,0.05
202308,0.75,0.23,1.0,0.12
202311,0.12,0.14,0.01,1.0
202314a,0.21000000000000002,0.09999999999999999,1.0,0.15000000000000002
202314b,0.01,0.27,0.01,0.3
202401,0.22,0.17,0.5,0.12
202405,0.01,0.04,0.01,0.04
202406,0.2,0.43,0.25,0.49
202407,0.76,0.06999999999999999,0.24000000000000002,0.02
202408,1.0,0.41000000000000003,0.88,0.5700000000000001
202409,0.27,0.13,0.26,0.15000000000000002
202413a,0.04,0.14,0.01,0.16
202413b,0.12,0.21000000000000002,0.09,0.17
202414,0.55,0.04,0.7,0.060000000000000005
202416,0.01,0.61,0.09,0.26
202417,0.01,0.2,0.01,0.23
202418b,1.0,0.01,0.3,0.01
202418,0.54,0.25,0.62,0.49
202421,0.060000000000000005,0.01,0.01,0.03
202422,0.24000000000000002,0.14,0.05,0.09999999999999999
202501,0.19,0.05,0.25,0.05
202503,0.26,0.14,0.09,0.2
202504,0.01,0.09999999999999999,0.01,0.09999999999999999
202505,0.42000000000000004,0.2,0.46,0.09999999999999999
