ptID,fit_alpha_plus,fit_alpha_minus,sim_alpha_plus,sim_alpha_minus
201810,0.18000000000000002,0.09999999999999999,0.14,0.060000000000000005
201811,0.17,0.12,0.08,0.15000000000000002
201901,0.11,0.02,0.06999999999999999,0.04
201902r,0.12,0.05,0.05,0.060000000000000005
201902,0.05,0.11,0.02,0.03
201903,0.060000000000000005,0.16,0.12,0.060000000000000005
201905,0.45,0.09999999999999999,0.16,0.13
201909,0.060000000000000005,0.01,0.01,0.060000000000000005
201910,0.05,0.09,0.060000000000000005,0.06999999999999999
201911,0.01,0.01,0.01,0.01
201913,0.06999999999999999,0.13,0.09999999999999999,0.09
201914,0.3,0.02,0.060000000000000005,0.12
201915,0.5,0.01,0.13,0.02
202001,0.09999999999999999,0.08,0.06999999999999999,0.01
202002,0.13,0.06999999999999999,0.14,0.09
202003,0.08,0.08,0.05,0.06999999999999999
202004,0.01,0.12,0.05,0.08
202005,0.35000000000000003,0.01,0.15000000000000002,0.12
202006u,0.09,0.06999999999999999,0.14,0.08
202006,0.11,0.05,0.06999999999999999,0.08
202007,0.06999999999999999,0.08,0.05,0.06999999999999999
202008,0.12,0.08,0.09,0.08
202009,0.26,0.01,0.17,0.08
202011,0.11,0.09999999999999999,0.08,0.11
202014,0.17,0.03,0.09999999999999999,0.04
202015,0.19,0.04,0.09999999999999999,0.09
202016,0.3,0.060000000000000005,0.11,0.03
202105,0.04,0.18000000000000002,0.060000000000000005,0.08
202107,0.56,0.01,0.16,0.03
202110,0.18000000000000002,0.01,0.14,0.06999999999999999
202114,0.09,0.13,0.14,0.08
202117,1.0,0.01,0.01,0.17
202118,0.38,0.02,0.16,0.05
202201,0.02,0.11,0.11,0.05
202202,0.03,0.04,0.03,0.03
202205,0.99,0.02,0.01,0.63
202207,0.43,0.01,0.08,0.01
202208,0.01,0.09999999999999999,0.060000000000000005,0.05
202209,0.03,0.06999999999999999,0.04,0.01
202212b,0.84,0.04,0.14,0.03
202212,0.08,0.08,0.09,0.05
202214,0.03,0.19,0.09999999999999999,0.12
202215,0.09,0.15000000000000002,0.09999999999999999,0.14
202216,0.01,0.05,0.04,0.060000000000000005
202217,0.21000000000000002,0.08,0.12,0.05
202302,0.06999999999999999,0.14,0.06999999999999999,0.09
202306,0.05,0.08,0.06999999999999999,0.01
202307,0.08,0.09999999999999999,0.09999999999999999,0.060000000000000005
202308,0.14,0.060000000000000005,0.060000000000000005,0.09999999999999999
202311,0.12,0.09999999999999999,0.16,0.08
202314a,0.19,0.03,0.13,0.09999999999999999
202314b,0.14,0.060000000000000005,0.13,0.06999999999999999
202401,0.16,0.060000000000000005,0.04,0.12
202405,0.04,0.03,0.03,0.03
202406,0.23,0.060000000000000005,0.09,0.13
202407,0.09999999999999999,0.13,0.04,0.06999999999999999
202408,0.23,0.01,0.01,0.15000000000000002
202409,0.14,0.09999999999999999,0.13,0.09
202413a,0.08,0.05,0.09,0.05
202413b,0.01,0.12,0.09999999999999999,0.03
202414,0.19,0.03,0.02,0.19
202416,0.04,0.13,0.08,0.08
202417,0.01,0.09,0.060000000000000005,0.05
202418b,0.17,0.05,0.09,0.09999999999999999
202418,0.19,0.05,0.14,0.09
202421,0.02,0.04,0.01,0.04
202422,0.09,0.09999999999999999,0.060000000000000005,0.06999999999999999
202501,0.05,0.09,0.060000000000000005,0.04
202503,0.13,0.08,0.06999999999999999,0.09999999999999999
202504,0.05,0.06999999999999999,0.060000000000000005,0.04
202505,0.23,0.04,0.04,0.98
