ptID,fit_alpha_plus,fit_alpha_minus,sim_alpha_plus,sim_alpha_minus
201810,0.18000000000000002,0.09999999999999999,0.85,0.04
201811,0.17,0.12,0.32,0.99
201901,0.11,0.02,0.13,0.98
201902r,0.12,0.05,0.11,0.92
201902,0.05,0.11,0.01,0.62
201903,0.060000000000000005,0.16,0.08,1.0
201905,0.45,0.09999999999999999,0.23,1.0
201909,0.060000000000000005,0.01,0.01,0.37
201910,0.05,0.09,0.12,1.0
201911,0.01,0.01,0.03,0.86
201913,0.06999999999999999,0.13,0.03,0.56
201914,0.3,0.02,0.03,0.6799999999999999
201915,0.5,0.01,0.2,0.01
202001,0.09999999999999999,0.08,0.15000000000000002,1.0
202002,0.13,0.06999999999999999,0.22,0.85
202003,0.08,0.08,0.01,0.63
202004,0.01,0.12,0.02,0.74
202005,0.35000000000000003,0.01,0.05,0.88
202006u,0.09,0.06999999999999999,0.03,0.8200000000000001
202006,0.11,0.05,0.01,0.44
202007,0.06999999999999999,0.08,0.03,0.96
202008,0.12,0.08,0.01,0.55
202009,0.26,0.01,0.01,0.76
202011,0.11,0.09999999999999999,0.03,0.5700000000000001
202014,0.17,0.03,0.28,0.04
202015,0.19,0.04,0.01,0.76
202016,0.3,0.060000000000000005,1.0,0.03
202105,0.04,0.18000000000000002,0.01,0.61
202107,0.56,0.01,0.5800000000000001,0.01
202110,0.18000000000000002,0.01,0.05,0.95
202114,0.09,0.13,0.04,0.96
202117,1.0,0.01,1.0,0.01
202118,0.38,0.02,0.01,0.88
202201,0.02,0.11,0.03,0.94
202202,0.03,0.04,0.02,0.04
202205,0.99,0.02,1.0,0.03
202207,0.43,0.01,0.01,0.69
202208,0.01,0.09999999999999999,0.02,0.55
202209,0.03,0.06999999999999999,0.04,0.02
202212b,0.84,0.04,0.02,0.96
202212,0.08,0.08,0.02,0.94
202214,0.03,0.19,0.04,0.97
202215,0.09,0.15000000000000002,0.03,0.6699999999999999
202216,0.01,0.05,0.02,0.74
202217,0.21000000000000002,0.08,0.09999999999999999,0.86
202302,0.06999999999999999,0.14,0.03,0.91
202306,0.05,0.08,0.13,0.01
202307,0.08,0.09999999999999999,0.18000000000000002,0.060000000000000005
202308,0.14,0.060000000000000005,0.01,0.51
202311,0.12,0.09999999999999999,0.04,0.94
202314a,0.19,0.03,0.03,0.94
202314b,0.14,0.060000000000000005,0.03,0.83
202401,0.16,0.060000000000000005,0.02,0.76
202405,0.04,0.03,0.03,1.0
202406,0.23,0.060000000000000005,0.23,0.18000000000000002
202407,0.09999999999999999,0.13,0.01,0.5
202408,0.23,0.01,0.84,0.04
202409,0.14,0.09999999999999999,0.06999999999999999,0.6599999999999999
202413a,0.08,0.05,0.14,0.05
202413b,0.01,0.12,0.01,0.86
202414,0.19,0.03,0.03,0.54
202416,0.04,0.13,0.04,0.91
202417,0.01,0.09,0.01,0.5800000000000001
202418b,0.17,0.05,0.03,0.6699999999999999
202418,0.19,0.05,0.02,0.69
202421,0.02,0.04,0.01,0.03
202422,0.09,0.09999999999999999,0.15000000000000002,0.99
202501,0.05,0.09,0.01,0.77
202503,0.13,0.08,0.01,0.44
202504,0.05,0.06999999999999999,0.02,0.74
202505,0.23,0.04,0.04,0.98
