ptID,fit_alpha_plus,fit_alpha_minus,sim_alpha_plus,sim_alpha_minus
201810,0.18000000000000002,0.09999999999999999,0.14,0.6599999999999999
201811,0.17,0.12,0.060000000000000005,0.27
201901,0.11,0.02,0.060000000000000005,0.11
201902r,0.12,0.05,0.16,0.04
201902,0.05,0.11,0.01,0.74
201903,0.060000000000000005,0.16,0.02,0.74
201905,0.45,0.09999999999999999,0.01,0.2
201909,0.060000000000000005,0.01,0.04,0.02
201910,0.05,0.09,0.060000000000000005,0.29000000000000004
201911,0.01,0.01,0.01,0.01
201913,0.06999999999999999,0.13,0.12,0.18000000000000002
201914,0.3,0.02,0.01,0.21000000000000002
201915,0.5,0.01,0.09999999999999999,0.04
202001,0.09999999999999999,0.08,0.11,0.06999999999999999
202002,0.13,0.06999999999999999,0.03,0.18000000000000002
202003,0.08,0.08,0.01,0.53
202004,0.01,0.12,0.01,0.060000000000000005
202005,0.35000000000000003,0.01,0.02,0.25
202006u,0.09,0.06999999999999999,0.02,0.31
202006,0.11,0.05,0.09,0.17
202007,0.06999999999999999,0.08,0.01,0.28
202008,0.12,0.08,0.16,0.18000000000000002
202009,0.26,0.01,0.02,0.45
202011,0.11,0.09999999999999999,0.09,0.19
202014,0.17,0.03,0.12,0.52
202015,0.19,0.04,0.060000000000000005,0.19
202016,0.3,0.060000000000000005,0.2,0.01
202105,0.04,0.18000000000000002,0.25,0.05
202107,0.56,0.01,0.060000000000000005,0.52
202110,0.18000000000000002,0.01,0.01,0.44
202114,0.09,0.13,0.08,0.19
202117,1.0,0.01,0.01,0.01
202118,0.38,0.02,0.08,0.31
202201,0.02,0.11,0.01,0.32
202202,0.03,0.04,0.06999999999999999,0.05
202205,0.99,0.02,0.2,0.06999999999999999
202207,0.43,0.01,0.2,0.05
202208,0.01,0.09999999999999999,0.06999999999999999,0.43
202209,0.03,0.06999999999999999,0.04,0.11
202212b,0.84,0.04,0.09,0.03
202212,0.08,0.08,0.13,0.09999999999999999
202214,0.03,0.19,0.03,0.6799999999999999
202215,0.09,0.15000000000000002,0.03,0.45
202216,0.01,0.05,0.02,0.94
202217,0.21000000000000002,0.08,0.01,0.54
202302,0.06999999999999999,0.14,0.01,0.51
202306,0.05,0.08,0.08,0.22
202307,0.08,0.09999999999999999,0.01,0.11
202308,0.14,0.060000000000000005,0.09999999999999999,0.04
202311,0.12,0.09999999999999999,0.05,0.2
202314a,0.19,0.03,0.03,0.52
202314b,0.14,0.060000000000000005,0.02,0.7
202401,0.16,0.060000000000000005,0.04,0.26
202405,0.04,0.03,0.13,0.04
202406,0.23,0.060000000000000005,0.08,0.29000000000000004
202407,0.09999999999999999,0.13,0.09,0.92
202408,0.23,0.01,0.01,0.17
202409,0.14,0.09999999999999999,0.060000000000000005,0.29000000000000004
202413a,0.08,0.05,0.01,0.14
202413b,0.01,0.12,0.18000000000000002,0.03
202414,0.19,0.03,0.01,0.3
202416,0.04,0.13,0.02,0.25
202417,0.01,0.09,0.05,0.14
202418b,0.17,0.05,0.02,0.97
202418,0.19,0.05,0.01,0.5700000000000001
202421,0.02,0.04,0.01,0.08
202422,0.09,0.09999999999999999,0.01,0.01
202501,0.05,0.09,0.01,0.13
202503,0.13,0.08,0.11,0.060000000000000005
202504,0.05,0.06999999999999999,0.01,0.03
202505,0.23,0.04,0.03,0.6699999999999999
